emotion,age,race,recall,train images,validation images,test images,support
Disgust,(8-12),asian,0.2222222238779068,45,5,9,59
Disgust,(8-12),indian,0.0,5,0,2,7
Disgust,(8-12),black,0.0,4,1,3,8
Disgust,(8-12),white,0.3529411852359772,377,39,17,433
Disgust,(8-12),middle eastern,0.0,22,2,2,26
Disgust,(8-12),latino hispanic,0.0,17,0,0,17
Disgust,(15-20),asian,0.0,15,3,0,18
Disgust,(15-20),indian,0.0,4,0,0,4
Disgust,(15-20),black,0.0,0,1,0,1
Disgust,(15-20),white,0.0,80,7,0,87
Disgust,(15-20),middle eastern,0.0,13,0,3,16
Disgust,(15-20),latino hispanic,0.0,13,0,1,14
Disgust,(25-32),asian,0.34090909361839294,235,44,44,323
Disgust,(25-32),indian,0.0,25,7,9,41
Disgust,(25-32),black,0.125,23,5,16,44
Disgust,(25-32),white,0.8083832263946533,1641,171,167,1979
Disgust,(25-32),middle eastern,0.4878048896789551,198,33,41,272
Disgust,(25-32),latino hispanic,0.25,238,24,24,286
Disgust,(38-43),asian,0.125,39,14,8,61
Disgust,(38-43),indian,0.0,20,0,1,21
Disgust,(38-43),black,0.0,12,0,0,12
Disgust,(38-43),white,0.7285714149475098,622,76,70,768
Disgust,(38-43),middle eastern,0.4166666567325592,118,10,12,140
Disgust,(38-43),latino hispanic,0.1666666716337204,44,9,6,59
Disgust,(48-53),asian,0.25,38,13,12,63
Disgust,(48-53),indian,0.0,9,2,1,12
Disgust,(48-53),black,0.0,11,9,0,20
Disgust,(48-53),white,0.6521739363670349,250,32,23,305
Disgust,(48-53),middle eastern,0.1666666716337204,24,5,6,35
Disgust,(48-53),latino hispanic,0.0,27,4,0,31
Disgust,(60-100),asian,0.0,8,4,0,12
Disgust,(60-100),indian,0.0,0,0,0,0
Disgust,(60-100),black,0.0,3,6,0,9
Disgust,(60-100),white,0.20000000298023224,38,7,5,50
Disgust,(60-100),middle eastern,0.0,11,1,1,13
Disgust,(60-100),latino hispanic,0.0,7,1,0,8
Fear,(0-2),asian,0.6666666865348816,34,6,3,43
Fear,(0-2),indian,0.0,1,0,0,1
Fear,(0-2),black,0.0,10,0,0,10
Fear,(0-2),white,0.23999999463558197,228,24,25,277
Fear,(0-2),middle eastern,0.0,45,2,4,51
Fear,(0-2),latino hispanic,0.0,20,4,3,27
Fear,(4-6),asian,0.0,90,8,10,108
Fear,(4-6),indian,0.0,11,1,1,13
Fear,(4-6),black,0.3333333432674408,31,4,3,38
Fear,(4-6),white,0.42500001192092896,280,41,40,361
Fear,(4-6),middle eastern,0.0,29,3,2,34
Fear,(4-6),latino hispanic,0.5,49,2,6,57
Fear,(8-12),asian,0.2142857164144516,83,11,14,108
Fear,(8-12),indian,0.0,13,0,2,15
Fear,(8-12),black,0.0,40,5,5,50
Fear,(8-12),white,0.3333333432674408,469,62,48,579
Fear,(8-12),middle eastern,0.2857142984867096,48,4,7,59
Fear,(8-12),latino hispanic,0.375,56,7,8,71
Fear,(15-20),asian,0.0,42,5,4,51
